ID,x_cen,y_cen,Cluster
0,653,271,0
1,387,291,1
2,1644,244,2
3,80,280,3
4,194,316,4
5,652,271,0
6,1644,244,2
7,109,306,3
8,387,290,1
9,652,271,0
10,387,291,1
11,109,306,3
12,1644,244,2
13,653,271,0
14,388,290,1
15,1644,244,2
16,109,305,3
17,653,270,0
18,109,306,3
19,387,290,1
20,1644,244,2
21,653,272,0
22,1645,244,2
23,388,291,1
24,110,307,3
25,653,269,0
26,388,291,1
27,110,306,3
28,1645,243,2
29,653,269,0
30,109,306,3
31,387,291,1
32,1644,244,2
33,652,269,0
34,110,305,3
35,388,291,1
36,1644,244,2
37,653,269,0
38,110,306,3
39,387,292,1
40,1644,244,2
41,108,306,3
42,652,270,0
43,388,291,1
44,1644,244,2
45,652,269,0
46,388,291,1
47,109,305,3
48,1644,244,2
49,653,269,0
50,387,291,1
51,192,315,4
52,1644,244,2
53,80,278,3
54,653,270,0
55,387,292,1
56,1644,244,2
57,80,277,3
58,191,315,4
59,653,269,0
60,388,291,1
61,81,278,3
62,1645,244,2
63,191,315,4
64,653,269,0
65,387,292,1
66,1644,244,2
67,81,277,3
68,190,315,4
69,653,269,0
70,388,291,1
71,80,277,3
72,1644,243,2
73,191,315,4
74,653,269,0
75,388,292,1
76,1644,244,2
77,81,276,3
78,191,317,4
79,148,345,3
80,652,269,0
81,387,291,1
82,191,316,4
83,1644,244,2
84,80,276,3
85,654,269,0
86,388,291,1
87,1645,243,2
88,80,277,3
89,190,315,4
90,1644,245,2
91,652,270,0
92,387,292,1
93,81,274,3
94,146,344,3
95,653,269,0
96,388,291,1
97,191,317,4
98,81,277,3
99,1644,244,2
100,653,269,0
101,388,291,1
102,109,305,3
103,1644,243,2
104,653,269,0
105,388,291,1
106,109,305,3
107,1644,243,2
108,653,271,0
109,110,305,3
110,1644,243,2
111,653,271,0
112,654,271,0
113,652,270,0
114,92,355,3
115,652,272,0
116,91,351,3
117,653,271,0
118,91,352,3
119,91,352,3
120,92,353,3
121,92,351,3
122,91,353,3
123,409,293,1
124,91,354,3
125,410,293,1
126,91,352,3
127,410,293,1
128,92,352,3
129,410,292,1
130,91,342,3
131,410,292,1
132,92,348,3
133,410,292,1
134,92,344,3
135,669,282,0
136,397,293,1
137,92,345,3
138,410,292,1
139,92,358,3
140,410,292,1
141,92,343,3
142,1659,245,2
143,1293,279,5
144,410,292,1
145,1659,245,2
146,92,342,3
147,1292,279,5
148,410,293,1
149,91,342,3
150,1659,245,2
151,1293,280,5
152,411,294,1
153,92,345,3
154,1660,247,2
155,1293,279,5
156,410,293,1
157,1660,246,2
158,91,343,3
159,1292,279,5
160,654,309,0
161,401,293,1
162,91,346,3
163,1659,246,2
164,1291,279,5
165,653,309,0
166,403,294,1
167,1659,246,2
168,42,246,3
169,205,330,4
170,631,279,0
171,945,260,6
172,40,250,3
173,204,330,4
174,632,281,0
175,945,260,6
176,39,251,3
177,204,331,4
178,631,279,0
179,945,261,6
180,40,251,3
181,630,280,0
182,945,260,6
183,47,250,3
184,631,279,0
185,945,260,6
186,50,250,3
187,631,278,0
188,945,260,6
189,38,251,3
190,631,278,0
191,944,259,6
192,38,250,3
193,632,278,0
194,944,259,6
195,38,250,3
196,631,278,0
197,944,260,6
198,38,250,3
199,631,277,0
200,945,259,6
201,48,250,3
202,632,278,0
203,945,259,6
204,51,251,3
205,369,323,1
206,630,281,0
207,945,260,6
208,43,250,3
209,366,324,1
210,632,280,0
211,1669,299,2
212,945,260,6
213,40,250,3
214,368,323,1
215,631,279,0
216,1682,244,2
217,39,250,3
218,945,260,6
219,368,322,1
220,629,279,0
221,945,260,6
222,1682,244,2
223,39,250,3
224,368,324,1
225,631,280,0
226,945,260,6
227,1683,244,2
228,39,251,3
229,367,323,1
230,1682,244,2
231,630,279,0
232,944,260,6
233,49,251,3
234,367,323,1
235,1682,244,2
236,633,280,0
237,945,260,6
238,40,250,3
239,63,662,-1
240,631,278,0
241,369,322,1
242,945,260,6
243,1683,244,2
244,39,251,3
245,207,315,4
246,369,323,1
247,632,281,0
248,38,250,3
249,206,314,4
250,945,261,6
251,1683,244,2
252,367,324,1
253,631,279,0
254,1683,244,2
255,945,260,6
256,39,250,3
257,205,314,4
258,366,323,1
259,945,260,6
260,630,280,0
261,1683,244,2
262,40,250,3
263,205,313,4
264,156,343,4
265,369,323,1
266,631,278,0
267,945,260,6
268,1682,243,2
269,40,250,3
270,206,314,4
271,156,343,4
272,633,279,0
273,367,323,1
274,1682,244,2
275,945,260,6
276,39,250,3
277,205,314,4
278,367,323,1
279,632,280,0
280,1683,244,2
281,39,251,3
282,945,260,6
283,205,315,4
284,366,324,1
285,630,279,0
286,1682,244,2
287,945,260,6
288,40,250,3
289,206,315,4
290,368,324,1
291,632,279,0
292,1682,244,2
293,944,260,6
294,39,249,3
295,207,315,4
296,368,323,1
297,631,278,0
298,1682,243,2
299,944,259,6
300,38,249,3
301,156,342,4
302,205,313,4
303,631,278,0
304,363,323,1
305,944,260,6
306,1683,244,2
307,40,250,3
308,157,343,4
309,1682,244,2
310,369,323,1
311,630,278,0
312,944,260,6
313,38,249,3
314,205,313,4
315,630,278,0
316,366,323,1
317,944,259,6
318,1682,243,2
319,206,313,4
320,41,249,3
321,156,342,4
322,368,322,1
323,632,278,0
324,1682,243,2
325,944,260,6
326,205,313,4
327,39,248,3
328,369,323,1
329,1682,244,2
330,630,278,0
331,944,260,6
332,205,313,4
333,40,248,3
334,368,323,1
335,1682,243,2
336,629,279,0
337,943,259,6
338,39,248,3
339,205,312,4
340,363,321,1
341,1682,243,2
342,630,277,0
343,204,312,4
344,944,259,6
345,38,247,3
346,1681,243,2
347,367,322,1
348,629,280,0
349,943,258,6
350,204,311,4
351,39,247,3
352,367,322,1
353,1682,243,2
354,629,278,0
355,944,259,6
356,37,247,3
357,204,311,4
358,1682,243,2
359,367,321,1
360,630,278,0
361,944,259,6
362,204,312,4
363,37,247,3
364,1681,243,2
365,367,321,1
366,630,278,0
367,204,312,4
368,943,258,6
369,38,247,3
370,368,322,1
371,630,278,0
372,1682,243,2
373,204,312,4
374,944,258,6
375,36,247,3
376,365,321,1
377,1682,243,2
378,627,278,0
379,205,312,4
380,943,259,6
381,37,247,3
382,1681,243,2
383,355,320,1
384,944,259,6
385,623,280,0
386,204,312,4
387,48,248,3
388,364,317,1
389,943,258,6
390,1682,243,2
391,622,277,0
392,154,340,4
393,204,312,4
394,37,249,3
395,351,320,1
396,1682,243,2
397,623,279,0
398,943,258,6
399,204,311,4
400,37,246,3
401,366,321,1
402,623,277,0
403,943,258,6
404,204,311,4
405,1682,243,2
406,36,246,3
407,361,314,1
408,943,258,6
409,622,277,0
410,1682,243,2
411,155,339,4
412,1681,243,2
413,358,321,1
414,628,278,0
415,204,312,4
416,943,259,6
417,37,246,3
418,1681,243,2
419,361,321,1
420,629,278,0
421,943,259,6
422,204,312,4
423,36,247,3
424,1681,243,2
425,367,322,1
426,943,258,6
427,627,278,0
428,204,312,4
429,37,246,3
430,1681,243,2
431,364,321,1
432,627,277,0
433,204,312,4
434,943,259,6
435,37,246,3
436,364,321,1
437,1682,243,2
438,630,277,0
439,204,312,4
440,944,258,6
441,37,246,3
442,1682,243,2
443,365,315,1
444,1285,747,-1
445,624,277,0
446,944,258,6
447,204,312,4
448,35,248,3
449,1262,310,5
450,1682,243,2
451,361,321,1
452,622,278,0
453,941,258,6
454,204,312,4
455,48,247,3
456,1273,287,5
457,1681,243,2
458,367,322,1
459,624,276,0
460,941,258,6
461,204,312,4
462,36,247,3
463,1273,287,5
464,1682,243,2
465,366,314,1
466,624,277,0
467,942,258,6
468,155,342,4
469,48,249,3
470,1274,288,5
471,365,323,1
472,1682,243,2
473,627,276,0
474,205,314,4
475,942,258,6
476,37,246,3
477,1273,287,5
478,1682,243,2
479,365,321,1
480,624,278,0
481,942,258,6
482,204,313,4
483,48,247,3
484,1273,287,5
485,365,318,1
486,1681,243,2
487,941,258,6
488,621,278,0
489,204,312,4
490,35,248,3
491,1275,287,5
492,1682,243,2
493,367,322,1
494,630,278,0
495,940,258,6
496,205,312,4
497,38,247,3
498,1276,288,5
499,367,321,1
500,1682,244,2
501,629,279,0
502,942,259,6
503,204,314,4
504,37,248,3
505,1275,288,5
506,366,322,1
507,1682,243,2
508,628,279,0
509,942,260,6
510,204,313,4
511,36,249,3
512,1274,287,5
513,1682,243,2
514,367,319,1
515,622,277,0
516,941,259,6
517,204,314,4
518,36,248,3
519,1275,288,5
520,1682,243,2
521,366,320,1
522,628,278,0
523,942,259,6
524,204,312,4
525,36,249,3
526,1274,288,5
527,1682,243,2
528,368,321,1
529,623,278,0
530,942,259,6
531,204,313,4
532,36,248,3
533,1272,287,5
534,366,320,1
535,624,278,0
536,1682,243,2
537,941,258,6
538,203,312,4
539,49,250,3
540,1274,287,5
541,366,321,1
542,626,277,0
543,942,258,6
544,204,311,4
545,1682,243,2
546,48,247,3
547,1275,287,5
548,1682,243,2
549,364,320,1
550,630,277,0
551,941,258,6
552,204,312,4
553,49,247,3
554,1274,287,5
555,1682,243,2
556,363,321,1
557,630,277,0
558,942,258,6
559,204,312,4
560,49,247,3
561,1275,287,5
562,360,320,1
563,1682,243,2
564,626,277,0
565,204,312,4
566,941,258,6
567,48,247,3
568,1275,286,5
569,364,320,1
570,1682,242,2
571,625,279,0
572,941,257,6
573,203,311,4
574,49,245,3
575,99,1009,-1
576,1275,286,5
577,1681,242,2
578,365,319,1
579,627,278,0
580,203,311,4
581,940,257,6
582,35,248,3
583,1275,287,5
584,1681,242,2
585,365,320,1
586,941,257,6
587,630,277,0
588,204,312,4
589,1276,287,5
590,365,321,1
591,629,277,0
592,1683,242,2
593,941,258,6
594,204,312,4
595,145,180,-1
596,1276,287,5
597,367,321,1
598,1682,242,2
599,629,277,0
600,941,258,6
601,204,311,4
602,1276,287,5
603,366,322,1
604,1683,242,2
605,628,277,0
606,204,313,4
607,941,258,6
608,146,181,-1
609,1277,287,5
610,1683,242,2
611,367,322,1
612,632,277,0
613,942,258,6
614,205,312,4
615,147,180,-1
616,1277,287,5
617,1683,243,2
618,629,278,0
619,368,322,1
620,204,312,4
621,941,258,6
622,1277,287,5
623,368,322,1
624,1683,242,2
625,941,258,6
626,631,278,0
627,156,341,4
628,205,313,4
629,147,181,-1
630,318,156,-1
631,1277,287,5
632,1683,243,2
633,368,323,1
634,630,278,0
635,205,313,4
636,941,258,6
637,1277,287,5
638,1683,243,2
639,365,322,1
640,630,277,0
641,941,258,6
642,156,341,4
643,204,311,4
644,1277,287,5
645,1682,243,2
646,369,322,1
647,629,277,0
648,941,258,6
649,149,181,-1
650,156,341,4
651,205,313,4
652,37,339,3
653,1278,287,5
654,1683,243,2
655,359,322,1
656,629,278,0
657,941,258,6
658,156,341,4
659,1277,287,5
660,356,322,1
661,1683,242,2
662,628,277,0
663,941,258,6
664,156,341,4
665,146,181,-1
666,205,312,4
667,1277,287,5
668,1683,243,2
669,360,321,1
670,627,278,0
671,941,258,6
672,205,313,4
673,37,338,3
674,147,182,-1
675,1277,287,5
676,1683,243,2
677,366,323,1
678,629,278,0
679,942,259,6
680,205,313,4
681,37,338,3
682,145,182,-1
683,1277,287,5
684,1683,243,2
685,369,322,1
686,629,278,0
687,941,259,6
688,156,341,4
689,205,312,4
690,148,181,-1
691,1277,287,5
692,1683,243,2
693,942,258,6
694,628,278,0
695,368,322,1
696,204,312,4
697,37,338,3
698,1277,287,5
699,1683,243,2
700,367,322,1
701,629,279,0
702,941,258,6
703,156,341,4
704,37,338,3
705,319,156,-1
706,147,181,-1
707,1277,287,5
708,1683,243,2
709,361,322,1
710,629,278,0
711,942,259,6
712,204,313,4
713,37,338,3
714,146,182,-1
715,1277,287,5
716,1682,243,2
717,368,323,1
718,627,278,0
719,942,259,6
720,156,341,4
721,38,338,3
722,1277,287,5
723,1683,243,2
724,631,279,0
725,368,322,1
726,941,259,6
727,204,313,4
728,146,182,-1
729,1277,287,5
730,1683,243,2
731,631,278,0
732,368,322,1
733,942,259,6
734,204,313,4
735,37,339,3
736,149,182,-1
