,ID,x_cen,y_cen,Cluster
0,0,653,271,3
1,1,387,291,2
2,2,1644,244,6
3,3,80,280,0
4,4,194,316,1
5,5,652,271,3
6,6,1644,244,6
7,7,109,306,0
8,8,387,290,2
9,9,652,271,3
10,10,387,291,2
11,11,109,306,0
12,12,1644,244,6
13,13,653,271,3
14,14,388,290,2
15,15,1644,244,6
16,16,109,305,0
17,17,653,270,3
18,18,109,306,0
19,19,387,290,2
20,20,1644,244,6
21,21,653,272,3
22,22,1645,244,6
23,23,388,291,2
24,24,110,307,0
25,25,653,269,3
26,26,388,291,2
27,27,110,306,0
28,28,1645,243,6
29,29,653,269,3
30,30,109,306,0
31,31,387,291,2
32,32,1644,244,6
33,33,652,269,3
34,34,110,305,0
35,35,388,291,2
36,36,1644,244,6
37,37,653,269,3
38,38,110,306,0
39,39,387,292,2
40,40,1644,244,6
41,41,108,306,0
42,42,652,270,3
43,43,388,291,2
44,44,1644,244,6
45,45,652,269,3
46,46,388,291,2
47,47,109,305,0
48,48,1644,244,6
49,49,653,269,3
50,50,387,291,2
51,51,192,315,1
52,52,1644,244,6
53,53,80,278,0
54,54,653,270,3
55,55,387,292,2
56,56,1644,244,6
57,57,80,277,0
58,58,191,315,1
59,59,653,269,3
60,60,388,291,2
61,61,81,278,0
62,62,1645,244,6
63,63,191,315,1
64,64,653,269,3
65,65,387,292,2
66,66,1644,244,6
67,67,81,277,0
68,68,190,315,1
69,69,653,269,3
70,70,388,291,2
71,71,80,277,0
72,72,1644,243,6
73,73,191,315,1
74,74,653,269,3
75,75,388,292,2
76,76,1644,244,6
77,77,81,276,0
78,78,191,317,1
79,79,148,345,0
80,80,652,269,3
81,81,387,291,2
82,82,191,316,1
83,83,1644,244,6
84,84,80,276,0
85,85,654,269,3
86,86,388,291,2
87,87,1645,243,6
88,88,80,277,0
89,89,190,315,1
90,90,1644,245,6
91,91,652,270,3
92,92,387,292,2
93,93,81,274,0
94,94,146,344,0
95,95,653,269,3
96,96,388,291,2
97,97,191,317,1
98,98,81,277,0
99,99,1644,244,6
100,100,653,269,3
101,101,388,291,2
102,102,109,305,0
103,103,1644,243,6
104,104,653,269,3
105,105,388,291,2
106,106,109,305,0
107,107,1644,243,6
108,108,653,271,3
109,109,110,305,0
110,110,1644,243,6
111,111,653,271,3
112,112,654,271,3
113,113,652,270,3
114,114,92,355,0
115,115,652,272,3
116,116,91,351,0
117,117,653,271,3
118,118,91,352,0
119,119,91,352,0
120,120,92,353,0
121,121,92,351,0
122,122,91,353,0
123,123,409,293,2
124,124,91,354,0
125,125,410,293,2
126,126,91,352,0
127,127,410,293,2
128,128,92,352,0
129,129,410,292,2
130,130,91,342,0
131,131,410,292,2
132,132,92,348,0
133,133,410,292,2
134,134,92,344,0
135,135,669,282,3
136,136,397,293,2
137,137,92,345,0
138,138,410,292,2
139,139,92,358,0
140,140,410,292,2
141,141,92,343,0
142,142,1659,245,6
143,143,1293,279,5
144,144,410,292,2
145,145,1659,245,6
146,146,92,342,0
147,147,1292,279,5
148,148,410,293,2
149,149,91,342,0
150,150,1659,245,6
151,151,1293,280,5
152,152,411,294,2
153,153,92,345,0
154,154,1660,247,6
155,155,1293,279,5
156,156,410,293,2
157,157,1660,246,6
158,158,91,343,0
159,159,1292,279,5
160,160,654,309,3
161,161,401,293,2
162,162,91,346,0
163,163,1659,246,6
164,164,1291,279,5
165,165,653,309,3
166,166,403,294,2
167,167,1659,246,6
168,168,42,246,0
169,169,205,330,1
170,170,631,279,3
171,171,945,260,4
172,172,40,250,0
173,173,204,330,1
174,174,632,281,3
175,175,945,260,4
176,176,39,251,0
177,177,204,331,1
178,178,631,279,3
179,179,945,261,4
180,180,40,251,0
181,181,630,280,3
182,182,945,260,4
183,183,47,250,0
184,184,631,279,3
185,185,945,260,4
186,186,50,250,0
187,187,631,278,3
188,188,945,260,4
189,189,38,251,0
190,190,631,278,3
191,191,944,259,4
192,192,38,250,0
193,193,632,278,3
