ID,x1,y1,x2,y2,x3,y3,x4,y4,x_centroide,y_centroide,fecha_hora,nom_img,camara,posicion_camara
0,814,163,814,568,1231,568,1231,163,1023,366,2023-06-21 09-00-49,IMGP2_2023-06-21_09-00-49,cam2,p2
1,1039,202,1039,640,1485,640,1485,202,1262,421,2023-06-21 09-00-49,IMGP2_2023-06-21_09-00-49,cam2,p2
2,1406,129,1406,619,1819,619,1819,129,1612,374,2023-06-21 09-00-49,IMGP2_2023-06-21_09-00-49,cam2,p2
3,538,157,538,570,1006,570,1006,157,772,363,2023-06-21 09-00-49,IMGP2_2023-06-21_09-00-49,cam2,p2
4,228,183,228,536,596,536,596,183,412,360,2023-06-21 09-00-49,IMGP2_2023-06-21_09-00-49,cam2,p2
5,0,246,0,508,219,508,219,246,109,377,2023-06-21 09-00-49,IMGP2_2023-06-21_09-00-49,cam2,p2
6,430,222,430,507,754,507,754,222,592,365,2023-06-21 09-00-49,IMGP2_2023-06-21_09-00-49,cam2,p2
7,1805,173,1805,665,1919,665,1919,173,1862,419,2023-06-21 09-00-49,IMGP2_2023-06-21_09-00-49,cam2,p2
8,814,163,814,568,1231,568,1231,163,1023,366,2023-06-21 09-10-49,IMGP2_2023-06-21_09-10-49,cam2,p2
9,1039,203,1039,641,1482,641,1482,203,1261,422,2023-06-21 09-10-49,IMGP2_2023-06-21_09-10-49,cam2,p2
10,1406,130,1406,619,1818,619,1818,130,1612,374,2023-06-21 09-10-49,IMGP2_2023-06-21_09-10-49,cam2,p2
11,228,183,228,536,596,536,596,183,412,359,2023-06-21 09-10-49,IMGP2_2023-06-21_09-10-49,cam2,p2
12,537,157,537,570,1013,570,1013,157,775,364,2023-06-21 09-10-49,IMGP2_2023-06-21_09-10-49,cam2,p2
13,0,233,0,509,235,509,235,233,118,371,2023-06-21 09-10-49,IMGP2_2023-06-21_09-10-49,cam2,p2
14,429,222,429,507,753,507,753,222,591,365,2023-06-21 09-10-49,IMGP2_2023-06-21_09-10-49,cam2,p2
15,1805,173,1805,666,1919,666,1919,173,1862,419,2023-06-21 09-10-49,IMGP2_2023-06-21_09-10-49,cam2,p2
16,1039,204,1039,642,1483,642,1483,204,1261,423,2023-06-21 09-20-49,IMGP2_2023-06-21_09-20-49,cam2,p2
17,815,163,815,569,1231,569,1231,163,1023,366,2023-06-21 09-20-49,IMGP2_2023-06-21_09-20-49,cam2,p2
18,1406,130,1406,619,1819,619,1819,130,1613,375,2023-06-21 09-20-49,IMGP2_2023-06-21_09-20-49,cam2,p2
19,229,184,229,536,597,536,597,184,413,360,2023-06-21 09-20-49,IMGP2_2023-06-21_09-20-49,cam2,p2
20,0,234,0,510,236,510,236,234,118,372,2023-06-21 09-20-49,IMGP2_2023-06-21_09-20-49,cam2,p2
21,538,158,538,571,1007,571,1007,158,772,364,2023-06-21 09-20-49,IMGP2_2023-06-21_09-20-49,cam2,p2
22,430,223,430,508,754,508,754,223,592,365,2023-06-21 09-20-49,IMGP2_2023-06-21_09-20-49,cam2,p2
23,1805,175,1805,665,1919,665,1919,175,1862,420,2023-06-21 09-20-49,IMGP2_2023-06-21_09-20-49,cam2,p2
24,815,163,815,569,1232,569,1232,163,1023,366,2023-06-21 09-30-49,IMGP2_2023-06-21_09-30-49,cam2,p2
25,1039,202,1039,641,1485,641,1485,202,1262,421,2023-06-21 09-30-49,IMGP2_2023-06-21_09-30-49,cam2,p2
26,1407,130,1407,619,1819,619,1819,130,1613,374,2023-06-21 09-30-49,IMGP2_2023-06-21_09-30-49,cam2,p2
27,0,234,0,510,235,510,235,234,117,372,2023-06-21 09-30-49,IMGP2_2023-06-21_09-30-49,cam2,p2
28,230,184,230,524,597,524,597,184,414,354,2023-06-21 09-30-49,IMGP2_2023-06-21_09-30-49,cam2,p2
29,539,157,539,571,1006,571,1006,157,772,364,2023-06-21 09-30-49,IMGP2_2023-06-21_09-30-49,cam2,p2
30,430,223,430,507,752,507,752,223,591,365,2023-06-21 09-30-49,IMGP2_2023-06-21_09-30-49,cam2,p2
